,,Crowd-sourced Regression,,,Auto Regressive Model,,
Preiods Ahead,Total Squared Error (last 20 obs),NGDP,UNEMP,INPROD,NGDP,UNEMP,INPROD
1,Initial,113350.5364,0.537321267,30.57379844,113350.5364,0.537321267,30.57379844
,Final,113726.0679,0.579876806,27.91265573,554904.7,0.8770099,183.0487
,Improvement,-0.33%,-7.92%,8.70%,-389.55%,-63.22%,-498.71%
2,Initial,733226.2843,1.971353192,209.2217362,733226.2843,1.971353192,209.2217362
,Final,711640.243,2.046471229,149.74258,1567249,3.87546,685.0882
,Improvement,2.94%,-3.81%,28.43%,-113.75%,-96.59%,-227.45%
3,Initial,1105715.726,4.359542667,370.8134874,1105715.726,4.359542667,370.8134874
,Final,1085432.603,4.45996281,239.8051601,2824484,10.25268,1485.819
,Improvement,1.83%,-2.30%,35.33%,-155.44%,-135.18%,-300.69%
4,Initial,1466859.611,12.17623194,630.6294817,1466859.611,12.17623194,630.6294817
,Final,1422044.432,12.46930418,465.2802355,4338086,19.1328,2534.444
,Improvement,3.06%,-2.41%,26.22%,-195.74%,-57.13%,-301.89%
5,Initial,1797663.583,26.51827486,1055.538989,1797663.583,26.51827486,1055.538989
,Final,1696061.803,27.11718977,799.6545602,5657866,25.24224,3339.629
,Improvement,5.65%,-2.26%,24.24%,-214.73%,4.81%,-216.39%
